date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time
2022-07-12,2022,7,61200816,Pulse1,captis_pulse,buderim,residential,12.0,0.8,12.0,0.0,15,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61200816,Pulse1_Total,captis_pulse,buderim,residential,291701.0,19446.733333333334,19537.0,19415.0,15,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61200816,Pulse1,captis_pulse,buderim,residential,88.0,3.52,57.0,0.0,25,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61200816,Pulse1_Total,captis_pulse,buderim,residential,489346.0,19573.84,19703.0,19546.0,25,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62365439,Pulse1,captis_pulse,buderim,residential,190.0,10.555555555555555,97.0,2.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62365439,Pulse1_Total,captis_pulse,buderim,residential,266403.0,14800.166666666666,14982.0,14747.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62365439,DeviceTemperature,captis_pulse,buderim,residential,14.0,14.0,14.0,14.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62365439,Battery,captis_pulse,buderim,residential,69.44999999999999,23.149999999999995,64.0,1.82,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62365439,Pulse1,captis_pulse,buderim,residential,71.0,2.730769230769231,44.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62365439,Pulse1_Total,captis_pulse,buderim,residential,391622.0,15062.384615384615,15067.0,14991.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62365439,DeviceTemperature,captis_pulse,buderim,residential,28.9,28.9,28.9,28.9,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,21947022,Pulse1,captis_pulse,meridan plains,non-residential,10.0,0.6666666666666666,5.0,0.0,15,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,21947022,DeviceTemperature,captis_pulse,meridan plains,non-residential,17.48,17.48,17.48,17.48,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,21947022,Pulse1,captis_pulse,meridan plains,non-residential,150.0,6.25,35.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,64630792,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,16,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,64630792,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,23,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,9395586,Pulse1,captis_pulse,buderim,residential,59.0,3.6875,24.0,0.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,9395586,Pulse1_Total,captis_pulse,buderim,residential,4061511.0,253844.4375,253912.0,253817.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,9395586,DeviceTemperature,captis_pulse,buderim,residential,20.94,10.47,14.14,6.8,2,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,9395586,Pulse1,captis_pulse,buderim,residential,553.0,23.041666666666668,134.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,9395586,Pulse1_Total,captis_pulse,buderim,residential,6104764.0,254365.16666666666,254972.0,253920.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,9395586,DeviceTemperature,captis_pulse,buderim,residential,26.8,26.8,26.8,26.8,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,283478,Pulse1,captis_pulse,buderim,residential,48.0,3.0,43.0,0.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,283478,Pulse1_Total,captis_pulse,buderim,residential,6598999.0,412437.4375,412552.0,412421.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,283478,Battery,captis_pulse,buderim,residential,78.369,26.123,72.0,2.729,3,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,283478,DeviceTemperature,captis_pulse,buderim,residential,7.7,7.7,7.7,7.7,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,283478,Pulse1,captis_pulse,buderim,residential,206.0,8.956521739130435,119.0,0.0,23,2025-12-23T13:39:34.573Z
